Naam organisatie,Korte naam,Afkorting
BDO Audit & Assurance B.V.,BDO,BDO
Deloitte Accountants B.V.,Deloitte,
Ernst & Young Accountants LLP,Ernst & Young,EY
KPMG Accountants N.V.,KPMG,
PricewaterhouseCoopers Accountants N.V.,PricewaterhouseCoopers,
